__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN48264994	SRR33388579	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T16:44:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_066		USA	North America		clinical	Homo sapiens	3	human
SAMN49444632	SRR34036582	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:55:00.000Z	2023				NV-WW-CAU-1123B98W		USA	North America	NV	environmental (wastewater)			
SAMN43804035	SRR30693012	ILLUMINA	Illumina HiSeq 2500	PRJNA1162159	Candidozyma auris	WGS	PAIRED	2024-09-17T20:17:00.000Z	2019				B18705		KEN	Africa		swab - skin	Homo sapiens	3	human
SAMN48849806	SRR33790398	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T13:09:00.000Z	2025-02						USA	North America	Midwest	sputum	Homo sapiens	3	human
SAMN46475536	SRR32170353	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-29T14:26:00.000Z	2024-01				MD-MDH-CAU-2400523		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN43561630	SRR30618555	ILLUMINA	Illumina MiSeq	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-09-10T10:31:00.000Z	2024						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN44256799	SRR30953913	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-10-11T16:09:00.000Z	2024						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN50288212	SRR34782137	ILLUMINA	NextSeq 1000	PRJNA850520	Candidozyma auris	WGS	PAIRED	2025-07-30T14:44:00.000Z	2025		Clade3				USA	North America	California	blood	Homo sapiens	3	human
SAMN48441364	SRR33531257	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-12T14:44:00.000Z	2024-01						USA	North America	Midwest	blood	Homo sapiens	3	human
SAMN47941826	SRR33125391	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-04-14T15:17:00.000Z	2025				UT-UPHL-CAU-3174		USA	North America	Mountain	swab - skin	Homo sapiens	3	human
SAMN48897483	SRR33832216	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-06-04T16:59:00.000Z	2025			Fungal infection	2025CE-CAURIS_06_04_015		USA	North America		clinical	Homo sapiens	3	human
SAMN49444931	SRR34036281	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:50:00.000Z	2023				NV-WW-CAU-0324C45W		USA	North America	NV	environmental (wastewater)			
SAMN48872795	SRR33810970	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2025-06-03T11:33:00.000Z	2025						USA	North America	West	axilla and/or groin	Homo sapiens	3	human
SAMN48523298	SRR33583951	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-05-15T11:55:00.000Z	2025				UT-UPHL-CAU-3233		USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN46815590	SRR32330834	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-13T11:09:00.000Z	2024-09				MD-MDH-CAU-2401086		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN47175290	SRR32537415	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2025-02-28T19:24:00.000Z	2024						USA	North America	West	wound	Homo sapiens	3	human
